text,action,category
Feedback: They forgot to give us our wake-up call.,Staff Communication Training,Services
It took 45 minutes just to check in. Terrible.,Review Check-in Process,Services
Review: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food
Not happy. The bill included a service charge that was not mentioned.,Compensate Guest,Food
valet scratched my car and denied it.,Disciplinary Action,Services
"Honestly, bike seat is broken.",Update Gym Equipment,Recreation
beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
"Review: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
"Honestly, food was cold when it arrived at the table.",Revise Menu Quality,Food
front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation
Feedback: They charged us for items we didn't order.,Compensate Guest,Food
Feedback: Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
The bill included a service charge that was not mentioned.,Compensate Guest,Food
Action needed: The server was rude when I asked for water.,Staff Training (Food),Food
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services
No one came to clear our table for 30 minutes. Terrible.,Staff Training (Food),Food
beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Cockroach in the shower.,Pest Control Investigation,Rooms
The bill included a service charge that was not mentioned. Terrible.,Compensate Guest,Food
housekeeper stole money from my wallet.,Disciplinary Action,Services
Not happy. They forgot to give us our wake-up call.,Staff Communication Training,Services
"Honestly, staff seemed confused by the check-in software.",Review Check-in Process,Services
Review: The menu options are very limited and boring.,Revise Menu Quality,Food
Action needed: Security guard was sleeping on the job.,Disciplinary Action,Services
No iron or ironing board in the room. Terrible.,Upgrade Room Amenities,Rooms
Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Housekeeper stole money from my wallet.,Disciplinary Action,Services
Review: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Bike seat is broken.,Update Gym Equipment,Recreation
I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
"Honestly, too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
"Honestly, the salad was wilted and brown.",Inspect Kitchen Hygiene,Food
Feedback: Restaurant manager was shouting at the staff.,Staff Training (Food),Food
Action needed: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Action needed: Employee was on their phone ignoring guests.,Disciplinary Action,Services
"Action needed: Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
there was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Action needed: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
The pool water was cloudy and green. Terrible.,Pool Maintenance,Recreation
"Honestly, pool was freezing cold, heater broken.",Pool Maintenance,Recreation
"Honestly, the concierge made a rude comment about my appearance.",Disciplinary Action,Services
"too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services
Review: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Lifeguard was on their phone the whole time. Terrible.,Recreation Staff Review,Recreation
They refused to accept my voucher. Terrible.,Compensate Guest,Food
Not happy. Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Not happy. Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Activity director was rude to the guests.,Recreation Staff Review,Recreation
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services
"Honestly, the pasta was overcooked and mushy.",Revise Menu Quality,Food
they lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Review: Staff member laughed at my complaint.,Disciplinary Action,Services
Feedback: It took 45 minutes just to check in.,Review Check-in Process,Services
"Not happy. Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
no iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Action needed: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Action needed: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
"Pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Not happy. The pool water was cloudy and green.,Pool Maintenance,Recreation
"Honestly, our anniversary dinner was ruined by the terrible service.",Compensate Guest,Food
Not happy. The pasta was overcooked and mushy.,Revise Menu Quality,Food
Feedback: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Review: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Action needed: The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
"Honestly, glass had lipstick marks on it.",Inspect Kitchen Hygiene,Food
Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
Action needed: The server was rude when I asked for water.,Staff Training (Food),Food
the bill included a service charge that was not mentioned.,Compensate Guest,Food
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
we were promised a complimentary drink but never got it.,Compensate Guest,Food
the dessert was stale and dry.,Revise Menu Quality,Food
Not happy. I want a refund for this terrible meal.,Compensate Guest,Food
Not happy. Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
Action needed: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Charged 5 stars price for 1 star food. Terrible.,Compensate Guest,Food
Feedback: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
Feedback: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms
No iron or ironing board in the room. Terrible.,Upgrade Room Amenities,Rooms
Review: The pasta was overcooked and mushy.,Revise Menu Quality,Food
Review: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Review: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Action needed: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
The menu options are very limited and boring.,Revise Menu Quality,Food
WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Review: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Feedback: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Not happy. Staff was arguing loudly in the hallway.,Disciplinary Action,Services
We were promised a complimentary drink but never got it.,Compensate Guest,Food
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Action needed: Unprofessional behavior from the night manager.,Disciplinary Action,Services
Not happy. They couldn't find my booking in the system.,Review Check-in Process,Services
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services
Staff was arguing loudly in the hallway.,Disciplinary Action,Services
Review: Bike seat is broken.,Update Gym Equipment,Recreation
Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Action needed: Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Feedback: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services
Review: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
"Honestly, yoga mats are torn and dirty.",Update Gym Equipment,Recreation
"Honestly, our anniversary dinner was ruined by the terrible service.",Compensate Guest,Food
Review: They forgot to give us our wake-up call.,Staff Communication Training,Services
Review:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
Action needed: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Misunderstanding about the room rate caused issues. Terrible.,Staff Communication Training,Services
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Review: The pool water was cloudy and green.,Pool Maintenance,Recreation
Feedback: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Feedback: I want a refund for this terrible meal.,Compensate Guest,Food
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Not happy. I want a refund for this terrible meal.,Compensate Guest,Food
Housekeeper stole money from my wallet. Terrible.,Disciplinary Action,Services
"the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
Feedback: The pasta was overcooked and mushy.,Revise Menu Quality,Food
"Honestly, priority check-in for members was not honored.",Review Check-in Process,Services
Employee was on their phone ignoring guests.,Disciplinary Action,Services
seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Action needed: Bartender was visibly drunk.,Disciplinary Action,Services
Review: Concierge was unable to give simple directions.,Staff Communication Training,Services
Action needed: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation
